waveform_id,fault_location,load,rpm,fault_type,fault_size,signal_location,fs,duration,bpfo,bpfi,bsf,ftf,inner,outer,ball,multiclass_label,signal,group
B_21_FE_FE_12_3HP,FE,3,1730,B,21,FE,12000,10.06675,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[-0.30446364 -0.12438701  0.25934286 ... -0.0252026   0.05975455
  0.16544286]",FE_B_21
OR@6_14_DE_FE_12_3HP,DE,3,1730,OR,14,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.03800909 -0.03595455  0.03328364 ... -0.03657091  0.1356
 -0.00390364]",DE_OR_14
B_21_DE_FE_12_3HP,DE,3,1730,B,21,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,[0.11978    0.15059818 0.07478545 ... 0.00164364 0.04211818 0.19579818],DE_B_21
OR@6_7_FE_DE_12_3HP,FE,3,1730,OR,7,DE,12000,10.1585,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.12117661  0.54204603 -0.32535756 ...  0.0147816  -0.03151242
 -0.02745154]",FE_OR_7
B_14_FE_FE_12_3HP,FE,3,1730,B,14,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.10894026  0.05243766  0.01504026 ...  0.03170649 -0.0626
  0.10609481]",FE_B_14
OR@6_7_DE_DE_12_3HP,DE,3,1730,OR,7,DE,12000,10.21425,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[-0.10842545 -0.12710549  0.09867934 ... -0.24446487  0.13969421
  0.02883224]",DE_OR_7
IR_7_DE_DE_12_3HP,DE,3,1730,IR,7,DE,12000,10.243083333333333,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[ 0.22269856  0.09323776 -0.14651649 ... -0.36125573  0.31138814
  0.17055689]",DE_IR_7
OR@6_21_DE_FE_12_3HP,DE,3,1730,OR,21,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.30694909 -0.15285818 -0.12820364 ... -0.18100545  0.03862545
  0.08875636]",DE_OR_21
IR_14_FE_FE_12_3HP,FE,3,1730,IR,14,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[-0.09528208  0.06666494 -0.13511844 ...  0.0689413  -0.09333091
  0.09560727]",FE_IR_14
OR@6_7_DE_FE_12_3HP,DE,3,1730,OR,7,FE,12000,10.21425,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.10950727  0.29318364 -0.17854    ...  0.19004545 -0.06759455
  0.14648909]",DE_OR_7
OR@3_14_FE_FE_12_3HP,FE,3,1730,OR,14,FE,12000,10.082,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 0.70607922 -0.08902208 -0.73412727 ...  0.02967403 -0.57518831
  0.23942468]",FE_OR_14
IR_21_DE_DE_12_3HP,DE,3,1730,IR,21,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.20629261 -0.00730958  0.22253613 ...  0.23187615 -1.24141048
 -0.67613623]",DE_IR_21
OR@3_14_FE_DE_12_3HP,FE,3,1730,OR,14,DE,12000,10.082,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.01396942  0.05847665 -0.02209118 ...  0.02436527  0.01819273
 -0.04109609]",FE_OR_14
IR_21_DE_FE_12_3HP,DE,3,1730,IR,21,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.21264545 -0.12265636  0.07601818 ... -0.08094909  0.11094545
  0.00575273]",DE_IR_21
OR@6_14_DE_DE_12_3HP,DE,3,1730,OR,14,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[-0.15443784  0.02866275 -0.04323772 ...  0.08363353 -0.03613293
 -0.06641964]",DE_OR_14
B_21_FE_DE_12_3HP,FE,3,1730,B,21,DE,12000,10.06675,3.5848,5.4152,4.7135,0.39828,0,0,0,0,[0.01218263 0.08568453 0.01543134 ... 0.01543134 0.11898373 0.04142096],FE_B_21
IR_7_DE_FE_12_3HP,DE,3,1730,IR,7,FE,12000,10.243083333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.09738545 -0.1808     -0.23360182 ...  0.12265636  0.02177818
 -0.00143818]",DE_IR_7
B_21_DE_DE_12_3HP,DE,3,1730,B,21,DE,12000,10.178,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[ 0.07244607  0.04791836 -0.25079984 ... -0.14213074  0.05815178
 -0.05230411]",DE_B_21
IR_21_FE_FE_12_3HP,FE,3,1730,IR,21,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[ 0.11505455  0.33242545  0.14505091 ...  0.16046    -0.03616
  0.12902545]",FE_IR_21
B_7_FE_DE_12_3HP,FE,3,1730,B,7,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.04824323 -0.04694375 -0.08787741 ... -0.01981709 -0.07666938
  0.00048731]",FE_B_7
B_14_DE_DE_12_3HP,DE,3,1730,B,14,DE,12000,10.178,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[ 0.1054204  -0.10736962 -0.16340974 ... -0.5821675   0.07488259
  0.56202555]",DE_B_14
IR_21_FE_DE_12_3HP,FE,3,1730,IR,21,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.15228923  0.195264    0.12454338 ... -0.05945538  0.157296
  0.02586831]",FE_IR_21
IR_14_DE_DE_12_3HP,DE,3,1730,IR,14,DE,12000,10.14175,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.00990854  0.06919737 -0.1059077  ...  0.120202    0.038822
 -0.12003956]",DE_IR_14
B_7_FE_FE_12_3HP,FE,3,1730,B,7,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.14975221 -0.33982857 -0.09463169 ... -0.09950961 -0.04650286
  0.08682701]",FE_B_7
B_14_FE_DE_12_3HP,FE,3,1730,B,14,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.17502385  0.03939052  0.09299411 ...  0.19370389  0.12263852
 -0.06578623]",FE_B_14
IR_7_FE_FE_12_3HP,FE,3,1730,IR,7,FE,12000,10.127916666666666,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[-0.09885922  0.05089299 -0.18015792 ...  0.17723117 -0.23657922
  0.0626    ]",FE_IR_7
B_14_DE_FE_12_3HP,DE,3,1730,B,14,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.20463273  0.24839455  0.04232364 ...  0.01582    -0.20833091
 -0.2373    ]",DE_B_14
OR@6_7_FE_FE_12_3HP,FE,3,1730,OR,7,FE,12000,10.1585,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 1.17598571 -2.24587662 -1.74710909 ... -0.43779351  0.05853506
  0.23088831]",FE_OR_7
B_7_DE_DE_12_3HP,DE,3,1730,B,7,DE,12000,10.129666666666667,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[ 0.09031393  0.22497265 -0.10883154 ...  0.02858858 -0.15934886
 -0.01835517]",DE_B_7
IR_7_FE_DE_12_3HP,FE,3,1730,IR,7,DE,12000,10.127916666666666,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.16422192  0.2020693   0.02631449 ... -0.00162435 -0.05668986
 -0.20596774]",FE_IR_7
OR@6_21_DE_DE_12_3HP,DE,3,1730,OR,21,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[-0.27613972  0.06253752  0.04182705 ... -0.13482116 -0.03614182
  0.12954202]",DE_OR_21
